"","Z_score","log_fc","se","paramindex_best","conv","p_val"
"Bpifa2",21.5498257186792,3.90518392032483,0.181216496657783,5,TRUE,7.44052649627399e-102
"Dsp",16.7336279195135,-8.27294780153029,0.494390567384555,3,TRUE,1.04377580802758e-61
"Krt14",15.1210194326646,-16.8072927117008,1.11151849162984,3,TRUE,1.64788677714562e-50
"Fam162a",11.8674151397803,-6.51818547542114,0.549250649669427,14,TRUE,2.44698767164515e-31
"Pkp1",11.8204538521403,-12.6412434586025,1.06943807883599,14,TRUE,4.28437446135243e-31
"Asprv1",11.4656801480526,-33.766376098094,2.94499547014045,3,TRUE,2.74696740298865e-29
"Gap43",11.1368615746722,-10.4849449038511,0.94146316119222,8,TRUE,1.16189694018531e-27
"Crct1",10.9538601086661,-23.746319763347,2.16784946382144,14,TRUE,8.91449500553587e-27
"Krt16",10.8219543826669,-41.4368083383253,3.82895795649379,3,TRUE,3.79312254628399e-26
"Perp",10.7764840315465,-10.2593453284932,0.95201229811695,3,TRUE,6.22376540568665e-26
"Trp63",9.90723020030281,-4.60154838427208,0.464463658483623,15,TRUE,5.42125456450826e-22
"Ly6g6c",9.4455287084441,-27.0794432609545,2.86690603531235,14,TRUE,4.95060377296879e-20
"Sfn",8.64437254500981,-14.2287959744945,1.64601836633111,3,TRUE,7.57424736655641e-17
"Car12",8.57109340011919,-5.9390155463826,0.692912242246714,15,TRUE,1.43509889396489e-16
"Klf4",8.54239953139363,-12.6425300141844,1.47997409483397,3,TRUE,1.8404817940758e-16
"Evpl",8.53318571650662,-11.4566653083355,1.342601191273,5,TRUE,1.99320608715906e-16
"Pkp3",8.4802772104744,-11.5738794055907,1.36479965434329,3,TRUE,3.14521239042103e-16
"Krt17",8.44847830304457,-9.51325626577504,1.12603192249979,3,TRUE,4.1317372475791e-16
"Lypd3",8.27257585177162,-22.5900926823045,2.73072052611843,3,TRUE,1.83533569792939e-15
"Tubb3",7.84587618305949,-5.9320696698325,0.756074851479404,8,TRUE,6.01917376546508e-14
"Clu",7.79262411910029,5.5582398698943,0.713269340974711,6,TRUE,9.1884305088164e-14
"Amelx",7.74943821335999,-6.69094299246093,0.863410070284292,13,TRUE,1.29219967641614e-13
"Them5",7.66535322034795,-19.1059713731863,2.49251023716282,14,TRUE,2.49675597175487e-13
"Sema3a",6.99100309501272,21.2042204280931,3.03307267067581,14,TRUE,3.82098835772548e-11
"Cd109",6.81418767084647,-16.4738384906645,2.41757921654338,14,TRUE,1.32717040950712e-10
"Gsto1",6.78485395968544,-3.86752924920173,0.570023949252555,15,TRUE,1.62685597328884e-10
"Clstn1",6.78157709771062,3.48097840174411,0.513299244643144,14,TRUE,1.6641941699065e-10
"Rgs5",6.73932521568538,39.2511925498181,5.82420217063621,3,TRUE,2.22773434453789e-10
"Serpinb5",6.71075524819592,-10.4382305025727,1.55544795131351,5,TRUE,2.71067488810969e-10
"Aox4",6.70202524456903,-13.6769546621385,2.0407196575724,14,TRUE,2.87770719796554e-10
"S100a16",6.67805977359037,-6.48710438689173,0.971405558923895,3,TRUE,3.38976806367841e-10
"Klk7",6.61272411510876,-27.4629041114456,4.15303944840195,3,TRUE,5.28235754858165e-10
"Zfp804b",6.60498276004448,10.3725290594555,1.57040970980304,15,TRUE,5.56589049659926e-10
"Tram1",6.55253304639458,-6.74828991358411,1.02987499121386,10,TRUE,7.91968726446151e-10
"Mucl2",6.46778227752875,6.5392693049561,1.01105278816755,5,TRUE,1.39232306358195e-09
"Plbd1",6.4569803223689,-14.1747350159181,2.19525758299318,5,TRUE,1.49537891621725e-09
"Tacstd2",6.41761135055743,-11.3047656079524,1.76152231577103,5,TRUE,1.93800746218005e-09
"Gm94",6.38642333777701,-35.2864614082372,5.52523056207541,3,TRUE,2.3773470076018e-09
"Nipal2",6.35412404864323,-7.44633039510085,1.17188936478047,3,TRUE,2.93464683798167e-09
"Ahnak2",6.29660171084564,-34.2542526682907,5.44011742227384,3,TRUE,4.25938347974972e-09
"Tshz2",6.29390678883003,3.50098846608129,0.556250447225337,14,TRUE,4.33403267442495e-09
"Stfa1",6.28414602695931,-66.0854015659615,10.5162103621481,3,TRUE,4.61525026842987e-09
"Stmn1",6.13014570724769,-1.4598234501648,0.238138458672988,12,TRUE,1.2291807702946e-08
"Kcnn4",6.11306329562116,-13.7072394003665,2.24228651618659,4,TRUE,1.36831215359166e-08
"Col2a1",6.10239432319139,6.99195069322288,1.14577169598019,6,TRUE,1.46287673945739e-08
"Ssr4",6.09767115216816,-4.87846508906093,0.800053818469086,10,TRUE,1.5067480715534e-08
"Lamb3",6.03657939512464,-8.060179709661,1.33522300993352,15,TRUE,2.20381445321549e-08
"Tmem176b",6.00438262757658,4.11168726602867,0.684781020973706,6,TRUE,2.6888580722329e-08
"Cst6",5.98371436483231,-24.7231667974315,4.13174247466346,3,TRUE,3.05347925592683e-08
"Sprr1b",5.9817323005566,-41.2983323028855,6.90407564695644,3,TRUE,3.09087668809742e-08
"Ly6e",5.96869018222981,5.23535511892686,0.877136349699259,6,TRUE,3.34832062168699e-08
"Aldoc",5.94927709145348,-7.16714097555847,1.20470787717293,8,TRUE,3.7706109998888e-08
"Dcpp3",5.91452556427095,-17.9913848517984,3.04189823110792,15,TRUE,4.65966960656257e-08
"Tuft1",5.86224229513942,-6.9779431223911,1.19031980786204,5,TRUE,6.39321213319688e-08
"Klk8",5.833168779402,-42.5341688849202,7.29177750438427,3,TRUE,7.61383085264869e-08
"Tfap2a",5.82759536062389,-10.2667084639607,1.7617401052467,3,TRUE,7.87244069667295e-08
"Sprr1a",5.79412507056235,-19.4720194406073,3.36064879571497,3,TRUE,9.61495711570875e-08
"Barx2",5.77729849187027,-6.84438890295829,1.18470404681178,15,TRUE,1.06273369286604e-07
"Apcdd1",5.72426382260111,-13.098668004541,2.28827119267696,6,TRUE,1.45436496349278e-07
"Bpifa1",5.72099901319054,35.2308486670412,6.15816373780377,11,TRUE,1.48259317661554e-07
"Lad1",5.71101378349963,-10.2119524250605,1.78811552767829,3,TRUE,1.57227208453691e-07
"Hspb1",5.68339919504089,-13.087971208196,2.3028421476387,3,TRUE,1.8486099416575e-07
"Atp1b3",5.64462327386467,-3.65096211202478,0.646803503952018,15,TRUE,2.31760664780394e-07
"Fgfbp1",5.62390270165051,-12.5728176126008,2.23560368654865,3,TRUE,2.61367160642719e-07
"Spp1",5.58707781618942,4.18905165831663,0.749775069568247,6,TRUE,3.23291175342213e-07
"Rps3",5.5693403345545,1.41445232828691,0.253971250331222,15,TRUE,3.57987822521529e-07
"Lce1b",5.52780986230076,151.975938875522,27.4929750952519,8,TRUE,4.53954468599016e-07
"Col11a2",5.50078445746859,7.00387893366673,1.27325093135713,6,TRUE,5.29347287836717e-07
"Sec11c",5.43347909286707,6.09572323732265,1.12188215563854,15,TRUE,7.73720663321583e-07
"Qsox1",5.3980175041529,8.2311806981591,1.5248525392566,15,TRUE,9.43338130026071e-07
"Selenos",5.39781392402538,4.52068649588681,0.837503211395538,6,TRUE,9.44408852843529e-07
"Naaladl2",5.38544190076454,-4.07983368539803,0.757567115303731,15,TRUE,1.01173626802705e-06
"Fhl2",5.35060674793303,-9.29018180453279,1.73628566669035,15,TRUE,1.22723756148397e-06
"Emp1",5.34755679873834,-9.73863225178397,1.82113675802034,3,TRUE,1.24809215551981e-06
"Rbp1",5.33549577267749,5.11846378533638,0.959322995165228,6,TRUE,1.33397388755411e-06
"Cox6b1",5.31191784327289,2.27440415634044,0.428170055231707,6,TRUE,1.51868513017458e-06
"Tenm2",5.30519474783697,8.08795758699944,1.52453547351811,11,TRUE,1.57573874473364e-06
"Lgals1",5.22598717125536,2.25309418308284,0.4311327428195,13,TRUE,2.42519718533145e-06
"Glis3",5.21271800862287,5.62768994965807,1.07960759441596,14,TRUE,2.60531137859888e-06
"Arhgef4",5.12701989867103,14.1444439606374,2.75880418648341,8,TRUE,4.12110181417633e-06
"Arap2",5.10373876801964,-8.18437873742593,1.60360455529381,3,TRUE,4.66211040082565e-06
"Apod",5.08571531531802,5.46864399044022,1.07529494896595,6,TRUE,5.12740293682387e-06
"Col27a1",5.0632534933686,-5.16227723884327,1.0195573351412,14,TRUE,5.77025707746066e-06
"Abca12",5.01955627473338,-8.2224096529469,1.63807500163621,5,TRUE,7.25073608443455e-06
"Ttn",5.01001196803144,-3.73632779756645,0.745772229968254,5,TRUE,7.61973109277322e-06
"Apobec3",4.98713782374384,65.2399654012385,13.0816447643837,6,TRUE,8.57924910664535e-06
"Col17a1",4.98222113355832,-8.57235943161493,1.72058991397929,3,TRUE,8.80019578096107e-06
"Lce1l",4.96253905399302,-34.7883241771155,7.01018647885978,3,TRUE,9.7408598600954e-06
"Cox6a1",4.94490703086591,-2.41686654371801,0.48875874280993,8,TRUE,1.06652296406518e-05
"Cadps2",4.89214744611987,4.35850976193073,0.89091954196671,6,TRUE,1.39638345936444e-05
"Tmbim4",4.88631341843755,2.81741679616327,0.576593549143267,6,TRUE,1.43838240149233e-05
"Galnt7",4.84473180080412,-9.216369305768,1.90234871293356,4,TRUE,1.77495950956744e-05
"Cers6",4.83493549649602,-7.93026022384481,1.64019979782399,3,TRUE,1.86464342477911e-05
"Ecm1",4.82423373658665,-23.714764372468,4.91575774876264,3,TRUE,1.96759537682363e-05
"Cspg4",4.80594017282811,13.6124333361144,2.83241839194683,11,TRUE,2.15636339888978e-05
"Cysrt1",4.78721234824902,9.55794368466668,1.99655728414943,13,TRUE,2.36759422021195e-05
"Tmem176a",4.77650156661601,11.5954206387885,2.42759695083769,6,TRUE,2.49719630146841e-05
"Cnpy2",4.75033669436213,2.9481884553256,0.620627261815908,6,TRUE,2.84309532993325e-05
"Rnd2",4.72047861837931,-6.65601840576853,1.41003041086833,8,TRUE,3.29406478864585e-05
"Sdf2l1",4.70718643392821,-7.80491856652234,1.65808571130017,10,TRUE,3.51622867551682e-05
"Arl15",4.69644515209098,-4.81883964042404,1.02606109181933,3,TRUE,3.70619588302661e-05
"Ptch2",4.69344864580949,-17.2300295999894,3.67108088321646,6,TRUE,3.76092430433822e-05
"Fxyd3",4.69223507303558,-2.62617626552075,0.559685570872686,11,TRUE,3.78330903563433e-05
"Dach1",4.68295065860771,5.13787482780246,1.0971447709701,10,TRUE,3.95884438775348e-05
"Lce1f",4.68277144666827,-33.837774073362,7.2260144358395,3,TRUE,3.96230834447373e-05
"Chl1",4.66899569378114,-3.32189595185604,0.711479763470467,5,TRUE,4.23746011466314e-05
"Tpd52l1",4.65387145439942,-9.7569099669789,2.09651471094146,4,TRUE,4.56063907591296e-05
"Capg",4.6485857655877,-5.20157201744657,1.11895795404109,14,TRUE,4.67906108761285e-05
"Cmas",4.60808432721908,-7.58363480680272,1.64572396429632,4,TRUE,5.68954190484585e-05
"Magi2",4.60081805348976,-4.16696431034467,0.905700738846647,15,TRUE,5.89168869269753e-05
"Bcat1",4.58251750281278,117.464113861655,25.6330966089175,3,TRUE,6.43175738303191e-05
"Chrm3",4.58146753014445,-9.58646385098733,2.09244391407595,10,TRUE,6.46414022726305e-05
"Fnbp1",4.57131609239539,-6.38027493020347,1.39571948236469,3,TRUE,6.78538758579816e-05
