"","Z_score","log_fc","se","paramindex_best","conv","p_val"
"Tnnc2",36.2669823036842,3.10901528905108,0.0857257784234022,8,TRUE,7.51212485761172e-287
"Mylpf",36.1692799550823,3.65026630929203,0.100921730093195,8,TRUE,2.59254018942078e-285
"Aldoa",27.2523528777451,5.18472204162373,0.190248602198957,8,TRUE,2.18190978397236e-162
"Myl1",25.7191954858487,3.12473828831045,0.121494402499089,8,TRUE,9.98268932448697e-145
"Ckm",24.7908129312342,3.47062813563523,0.139996544093258,8,TRUE,1.57675959945543e-134
"Tnnt3",20.7734073996904,-2.71192974205853,0.130548142145373,2,TRUE,1.05449239092923e-94
"Myh3",19.5068947759561,3.3997175274003,0.174282865953157,14,TRUE,1.34309663572495e-83
"Tpm2",17.4957410408897,-2.30789463825118,0.131911796868583,2,TRUE,2.16147704608354e-67
"Csrp3",15.5137621752546,-3.45442832086098,0.222668639743041,11,TRUE,3.9197478528322e-53
"Ttn",13.8988365646383,2.32504689097243,0.167283562200297,3,TRUE,9.01310540516789e-43
"Myh8",12.8470945623558,-1.23028432559567,0.0957636234110562,9,TRUE,1.25022381873803e-36
"Car3",11.1919162881638,-1.82574190362828,0.163130410969846,14,TRUE,6.25343968017908e-28
"Chchd10",10.7151873531902,-4.06729683809839,0.379582428569243,2,TRUE,1.20935057725458e-25
"Tnnc1",9.70694863459544,-4.36348971485376,0.449522283377738,8,TRUE,3.94299269020468e-21
"Myl2",9.07488240669675,7.60823734646434,0.838384125049366,15,TRUE,1.59320445610925e-18
"Tnni1",8.51080861294638,2.30652122540232,0.271010820510487,14,TRUE,2.41814345369184e-16
"Krt10",8.1293082996645,5.1698528937187,0.63595237173279,11,TRUE,6.04445735539385e-15
"Lor",7.94375317527861,5.83711279506902,0.734805408258961,13,TRUE,2.74615218435546e-14
"Mustn1",7.9413020157224,1.63404789099877,0.205765740651047,13,TRUE,2.80097803002833e-14
"Fitm1",7.90810974038741,3.27567347072991,0.414216997268103,8,TRUE,3.65856968245521e-14
"Dclk1",7.84902505333454,-2.56913650576646,0.327319187836584,8,TRUE,5.86997409919001e-14
"Ctnna3",7.78600600329464,-1.95250400240073,0.250770934619692,8,TRUE,9.68249315612713e-14
"Cox6b1",7.45654457420523,2.24283381615862,0.30078728744107,8,TRUE,1.24349478797019e-12
"Uqcr10",7.2067459260024,2.2598733782113,0.313577501054607,8,TRUE,8.02266955324093e-12
"S100a10",6.98292609354943,1.56119161299756,0.223572696042098,9,TRUE,4.04732321072587e-11
"Ndufb9",6.92639421474512,2.83996328957585,0.41002045242098,8,TRUE,6.04383389684009e-11
"Tnnt1",6.86302918209626,-2.22263207947752,0.323855839820083,8,TRUE,9.43816270205577e-11
"Bola3",6.6410108876794,4.25030333221933,0.640008487277835,8,TRUE,4.36154631250471e-10
"Uqcrb",6.62611385254009,2.89146689583022,0.436374466267552,8,TRUE,4.82495152901844e-10
"Hspb1",6.48760402505306,1.12713791701632,0.173737162851443,13,TRUE,1.22096973310612e-09
"Cacng1",6.38694458139691,3.37402322301494,0.528268748854088,8,TRUE,2.36926105330879e-09
"Krt5",6.32994741929572,2.13223227590706,0.336848339278037,13,TRUE,3.4334265977705e-09
"Fhl1",6.21744671257505,-1.83611442837562,0.295316472059502,2,TRUE,7.07433550066511e-09
"Xirp2",6.17581395876518,-1.97496423884827,0.319790112207841,11,TRUE,9.21528452588839e-09
"Crct1",6.17436302271708,4.70381308472229,0.761829692782194,13,TRUE,9.30030439941316e-09
