distance_pixel,c58_8_truth,c58_8_recon,c58_5_truth,c58_5_recon,c58_4_truth,c58_4_recon
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
60,0,0,0,0,0,0
61,0,0,0,0,0,0
62,0,0,0,0,0,0
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,0,0,0,0,0,0
67,0,0,0,0,0,0
68,0,0,0,0,0,0
69,0,0,0,0,0,0
70,0,0,0,0,0,0
71,0,0,0,0,0,0
72,0,0,0,0,0,0
73,0,0,0,0,0,0
74,0,0,0,0,0,0
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,0,0,0,0,0,0
78,0,0,0,0,0,0
79,0,0,0,0,0,0
80,0,0,0,0,0,0
81,0,0,0,0,0,0
82,0,0,0,0.26,0,0
83,0,0,0.04,2.4,0,0
84,0.08,0,1.78,5.28,0,0
85,4.18,0,8.28,11.7,0,0
86,12.9,0,16.48,18.12,0,0
87,18.42,0.24,31.2,23.02,0,0
88,21.6,2.88,41.98,31.28,0,0
89,28.74,6.44,46.66,35.88,0.28,0
90,36.62,8.78,54.26,47.18,5.26,0
91,42.56,13.24,63.98,75.3,15.32,0.9
92,52.26,24.62,78.9,94.4,29.76,8.68
93,60.94,32.44,99.24,109.74,49.54,22.24
94,64.38,43.8,108.58,131.04,63.96,29.96
95,67.24,59.76,112.8,146,72.68,37.02
96,72.76,73.8,110.32,157.68,84.78,57.84
97,74.56,90.88,105.94,157.14,108.34,71.1
98,74.54,111.5,109.98,155.56,130.92,84.26
99,77.7,123.18,124.44,169.42,138.74,99.4
100,78.08,128.4,125.62,176.38,140.14,112
101,70.12,126.84,123.46,171.18,137.42,111.1
102,58.04,126.4,120.44,170.9,125.88,101.7
103,56.22,126.76,120.08,162.88,111.86,95.56
104,55.72,124.84,121.66,151.86,103.26,92
105,48.14,121.04,123.06,147.74,96.7,85.02
106,43.3,107.26,120.3,139.54,90.5,75.24
107,37.5,90.04,110.94,127.52,80.04,61.66
108,30.64,81.64,90.68,104.36,67.64,40.98
109,26.76,72.74,63.38,74.98,63.06,23.44
110,25.5,65.72,54.66,57.74,58.66,12.62
111,22.6,52.98,53.56,40.76,46.9,4.22
112,17.78,35.6,51.54,19.76,26.74,0.16
113,9.74,25.62,44.7,12.8,20.4,0
114,6.62,13.46,36.48,8.82,20.62,0
115,5.08,7.46,27.1,3.52,20.74,0
116,2.3,7.38,14.06,2.58,19.3,0
117,0.16,7.16,2.4,3.36,17.7,0
118,0,6.7,0,3.56,14.26,0
119,0,5.54,0,3.74,7.28,0
120,0,3.96,0,3.44,0.58,0
121,0,1.06,0,2.46,0,0
122,0,0.02,0,1.4,0,0
123,0,0,0,0.36,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
128,0,0,0,0,0,0
129,0,0,0,0,0,0
130,0,0,0,0,0,0
131,0,0,0,0,0,0
132,0,0,0,0,0,0
133,0,0,0,0,0,0
134,0,0,0,0,0,0
135,0,0,0,0,0,0
136,0,0,0,0,0,0
137,0,0,0,0,0,0
138,0,0,0,0,0,0
139,0,0,0,0,0,0
140,0,0,0,0,0,0
141,0,0,0,0,0,0
142,0,0,0,0,0,0
143,0,0,0,0,0,0
144,0,0,0,0,0,0
145,0,0,0,0,0,0
146,0,0,0,0,0,0
147,0,0,0,0,0,0
148,0,0,0,0,0,0
149,0,0,0,0,0,0
150,0,0,0,0,0,0
151,0,0,0,0,0,0
152,0,0,0,0,0,0
153,0,0,0,0,0,0
154,0,0,0,0,0,0
155,0,0,0,0,0,0
156,0,0,0,0,0,0
157,0,0,0,0,0,0
158,0,0,0,0,0,0
159,0,0,0,0,0,0
160,0,0,0,0,0,0
161,0,0,0,0,0,0
162,0,0,0,0,0,0
163,0,0,0,0,0,0
164,0,0,0,0,0,0
165,0,0,0,0,0,0
166,0,0,0,0,0,0
167,0,0,0,0,0,0
168,0,0,0,0,0,0
169,0,0,0,0,0,0
170,0,0,0,0,0,0
171,0,0,0,0,0,0
172,0,0,0,0,0,0
173,0,0,0,0,0,0
174,0,0,0,0,0,0
175,0,0,0,0,0,0
